URL,Year,School,Conf,Class,Pos,G,college_solo_tackles,college_assisted_tackle,college_total_tackles,college_tackles_for_loss,college_sk,college_int,college_int_yds,college_int_td,college_passes_defended,college_fumbles_recov,college_fumbles_recov_yds,college_fumbles_recov_td,college_fumbles_forced
https://www.sports-reference.com/cfb/players/curtis-lofton-1.html,,Oklahoma,Big 12,,,32.0,117.0,80.0,197.0,16.0,1.0,3.0,71.0,1.0,0.0,0.0,12.0,1.0,0.0
https://www.sports-reference.com/cfb/players/dajuan-morgan-1.html,,North Carolina State,ACC,,,38.0,144.0,56.0,200.0,4.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/dan-connor-1.html,,Penn State,Big Ten,,,44.0,177.0,157.0,334.0,29.5,13.0,4.0,5.0,0.0,8.0,1.0,18.0,1.0,0.0
https://www.sports-reference.com/cfb/players/darnell-terrell-1.html,,Missouri,Big 12,,,37.0,76.0,49.0,125.0,3.5,0.0,3.0,25.0,0.0,9.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/darrell-robertson-1.html,,Georgia Tech,ACC,,,39.0,67.0,38.0,105.0,24.0,10.5,1.0,28.0,1.0,1.0,1.0,32.0,1.0,2.0
https://www.sports-reference.com/cfb/players/david-roach-1.html,,TCU,MWC,,,36.0,95.0,55.0,150.0,6.0,0.0,3.0,47.0,0.0,4.0,0.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/david-vobora-1.html,,Idaho,WAC,,,33.0,197.0,127.0,324.0,27.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/dejuan-tribble-1.html,,Boston College,ACC,,,43.0,120.0,21.0,141.0,9.0,0.0,15.0,145.0,3.0,0.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/demario-pressley-1.html,,North Carolina State,ACC,,,34.0,43.0,56.0,99.0,16.5,4.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/dennis-keyes-1.html,,UCLA,Pac-10,,,38.0,175.0,76.0,251.0,17.0,2.0,4.0,135.0,1.0,6.0,0.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/derrick-harvey-1.html,,Florida,SEC,,,36.0,60.0,30.0,90.0,31.5,20.5,0.0,0.0,0.0,6.0,1.0,9.0,0.0,2.0
https://www.sports-reference.com/cfb/players/dj-parker-1.html,,Virginia Tech,ACC,,,40.0,57.0,77.0,134.0,1.5,0.0,5.0,60.0,1.0,2.0,1.0,5.0,1.0,0.0
https://www.sports-reference.com/cfb/players/dj-wolfe-1.html,,Oklahoma,Big 12,,,53.0,107.0,63.0,170.0,9.0,1.5,7.0,145.0,1.0,0.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/dominique-barber-1.html,,Minnesota,Big Ten,,,37.0,128.0,59.0,187.0,6.5,1.0,4.0,57.0,1.0,8.0,2.0,53.0,1.0,1.0
https://www.sports-reference.com/cfb/players/dorian-smith-1.html,,Oregon State,Pac-10,,,23.0,46.0,26.0,72.0,21.5,14.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/dre-moore-1.html,,Maryland,ACC,,,37.0,58.0,69.0,127.0,17.5,9.5,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/durell-mapp-1.html,,North Carolina,ACC,,,34.0,158.0,107.0,265.0,12.5,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
