URL,Year,School,Conf,Class,Pos,G,college_solo_tackles,college_assisted_tackle,college_total_tackles,college_tackles_for_loss,college_sk,college_int,college_int_yds,college_int_td,college_passes_defended,college_fumbles_recov,college_fumbles_recov_yds,college_fumbles_recov_td,college_fumbles_forced
https://www.sports-reference.com/cfb/players/damarius-travis-1.html,,Minnesota,Big Ten,,,39.0,116.0,73.0,189.0,8.0,0.0,4.0,17.0,0.0,13.0,2.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/damontae-kazee-1.html,,San Diego State,MWC,,,53.0,171.0,69.0,240.0,14.5,0.0,17.0,214.0,2.0,29.0,1.0,0.0,0.0,6.0
https://www.sports-reference.com/cfb/players/davon-gaudchaux-1.html,,LSU,SEC,,,35.0,51.0,88.0,139.0,19.0,12.5,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/dawuane-smoot-1.html,,Illinois,Big Ten,,,40.0,71.0,65.0,136.0,38.5,15.5,0.0,0.0,0.0,5.0,2.0,0.0,0.0,4.0
https://www.sports-reference.com/cfb/players/deatrich-wise-jr-1.html,,Arkansas,SEC,,,41.0,51.0,61.0,112.0,23.0,16.5,0.0,0.0,0.0,6.0,1.0,0.0,0.0,4.0
https://www.sports-reference.com/cfb/players/delano-hill-1.html,,Michigan,Big Ten,,,32.0,84.0,33.0,117.0,7.0,0.0,3.0,36.0,1.0,5.0,1.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/demarcus-walker-1.html,,Florida State,ACC,,,49.0,107.0,72.0,179.0,41.5,27.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,7.0
https://www.sports-reference.com/cfb/players/derek-barnett-2.html,,Tennessee,SEC,,,39.0,131.0,67.0,198.0,52.0,32.0,1.0,7.0,0.0,6.0,2.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/derrick-jones-3.html,,Ole Miss,SEC,,,27.0,38.0,16.0,54.0,2.5,0.0,2.0,54.0,1.0,6.0,0.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/desmond-king-1.html,,Iowa,Big Ten,,,53.0,174.0,89.0,263.0,9.5,0.0,14.0,231.0,3.0,33.0,3.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/devonte-fields-1.html,,Louisville,ACC,,,39.0,106.0,59.0,165.0,51.5,26.5,2.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/dj-jones-4.html,,Ole Miss,SEC,,,25.0,34.0,36.0,70.0,8.5,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/duke-riley-1.html,,LSU,SEC,,,35.0,59.0,85.0,144.0,10.0,1.5,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/eddie-jackson-6.html,,Alabama,SEC,,,38.0,94.0,32.0,126.0,7.5,1.0,9.0,303.0,3.0,12.0,3.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/eddie-vanderdoes-1.html,,UCLA,Pac-12,,,38.0,75.0,47.0,122.0,13.5,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/ejuan-price-1.html,,Pitt,ACC,,,43.0,92.0,51.0,143.0,53.0,29.5,0.0,0.0,0.0,3.0,1.0,32.0,1.0,4.0
https://www.sports-reference.com/cfb/players/elijah-lee-1.html,,Kansas State,Big 12,,,35.0,153.0,56.0,209.0,18.5,11.0,5.0,5.0,0.0,5.0,3.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/elijah-qualls-1.html,,Washington,Pac-12,,,30.0,42.0,35.0,77.0,11.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/fabian-moreau-1.html,,UCLA,Pac-12,,,38.0,99.0,50.0,149.0,4.5,0.0,3.0,32.0,0.0,21.0,0.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/fadol-brown-2.html,,Ole Miss,SEC,,,30.0,43.0,66.0,109.0,15.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/gareon-conley-1.html,,Ohio State,Big Ten,,,35.0,66.0,25.0,91.0,1.0,0.5,6.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/garrett-sickels-1.html,,Penn State,Big Ten,,,33.0,44.0,50.0,94.0,21.5,11.5,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/haason-reddick-1.html,,Temple,American,,,42.0,99.0,50.0,149.0,47.0,17.5,1.0,5.0,0.0,5.0,2.0,0.0,0.0,4.0
https://www.sports-reference.com/cfb/players/hardy-nickerson-1.html,,California,Pac-12,,,46.0,159.0,192.0,351.0,14.5,4.0,3.0,41.0,0.0,1.0,4.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/harvey-langi-2.html,,Brigham Young,Ind,,,29.0,84.0,53.0,137.0,11.5,6.5,2.0,21.0,0.0,3.0,0.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/howard-wilson-1.html,,Houston,American,,,27.0,77.0,30.0,107.0,3.5,0.0,9.0,63.0,1.0,15.0,2.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/ifeadi-odenigbo-1.html,,Northwestern,Big Ten,,,37.0,41.0,20.0,61.0,26.5,23.5,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0
https://www.sports-reference.com/cfb/players/isaac-rochell-1.html,,Notre Dame,Ind,,,41.0,82.0,84.0,166.0,21.0,4.5,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/jabrill-peppers-1.html,,Michigan,Big Ten,,,27.0,86.0,33.0,119.0,18.5,3.0,1.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/jack-tocho-1.html,,North Carolina State,ACC,,,45.0,98.0,24.0,122.0,2.0,1.0,6.0,58.0,0.0,26.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/jadar-johnson-1.html,,Clemson,ACC,,,41.0,68.0,30.0,98.0,5.5,1.0,9.0,144.0,1.0,9.0,0.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/jaleel-johnson-1.html,,Iowa,Big Ten,,,34.0,54.0,59.0,113.0,18.5,12.5,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/jalen-myrick-1.html,,Minnesota,Big Ten,,,47.0,67.0,26.0,93.0,8.0,0.5,5.0,61.0,2.0,21.0,2.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/jalen-reeves-maybin-1.html,,Tennessee,SEC,,,39.0,149.0,91.0,240.0,27.0,8.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/jalen-tabor-1.html,,Florida,SEC,,,37.0,65.0,39.0,104.0,11.0,4.0,9.0,129.0,3.0,28.0,3.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/jamal-adams-1.html,,LSU,SEC,,,36.0,128.0,81.0,209.0,18.0,2.0,5.0,30.0,0.0,14.0,2.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/jamal-carter-1.html,,Miami (FL),ACC,,,43.0,95.0,69.0,164.0,2.5,0.0,2.0,48.0,0.0,10.0,1.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/jarrad-davis-1.html,,Florida,SEC,,,38.0,106.0,95.0,201.0,20.0,5.5,1.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/jarrod-clements-1.html,,Illinois,Big Ten,,,37.0,43.0,56.0,99.0,26.5,6.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/jarron-jones-1.html,,Notre Dame,Ind,,,30.0,59.0,46.0,105.0,19.5,4.5,1.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/jayon-brown-1.html,,UCLA,Pac-12,,,33.0,135.0,87.0,222.0,9.0,3.0,3.0,32.0,0.0,12.0,4.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/jeremiah-ledbetter-1.html,,Arkansas,SEC,,,25.0,41.0,63.0,104.0,15.0,7.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/jeremy-clark-2.html,,Michigan,Big Ten,,,23.0,32.0,18.0,50.0,0.0,0.0,3.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/joe-mathis-1.html,,Washington,Pac-12,,,28.0,43.0,35.0,78.0,15.5,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/joey-ivie-1.html,,Florida,SEC,,,26.0,28.0,41.0,69.0,10.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/john-johnson-9.html,,Boston College,ACC,,,35.0,122.0,45.0,167.0,5.5,2.5,6.0,47.0,0.0,14.0,3.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/johnathan-ford-1.html,,Auburn,SEC,,,44.0,176.0,104.0,280.0,12.5,2.0,5.0,66.0,1.0,11.0,1.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/jonathan-allen-1.html,,Alabama,SEC,,,50.0,78.0,74.0,152.0,44.5,28.0,0.0,75.0,1.0,6.0,3.0,30.0,1.0,3.0
